ts_code,end_date,name,Acquisition_of_subsidiary_cash_out,Add_depreciation_amortization,Add_finance_cost_expense,Add_impairment_provision,Add_other_operating_adjust,Add_share_based_payment_exp,Bond_redemption_payment,Capital_exp_fixed_asset,Capital_exp_intangible_other_asset,Cash_at_period_begin,Cash_at_period_end,Cash_generated_from_ops,Cash_outflow_for_investment,Cash_paid_for_minority_equity_subsidiary,Change_in_advance_other_payable,Change_in_customer_deposit_ops,Change_in_deferred_income,Change_in_deposit,Change_in_inventory,Change_in_loan_advance,Change_in_notes_receivable,Change_in_prepayment_other_receivable,Change_in_property_under_dev,Change_in_related_payable,Change_in_related_receivable_invest,Change_in_related_receivable_ops,Change_in_restricted_cash,Change_in_trade_payable_accrued,Change_in_trade_receivable,Change_in_trading_investment,Dividend_paid_financing,Dividend_received_investing,Dividend_received_operating,EBITDA_group,FX_effect_on_cash,Government_grant_investing,Income_tax_paid,Interest_paid_financing,Interest_paid_operating,Interest_received_financing,Interest_received_investing,Interest_received_operating,Issue_cost_payment,Less_FX_gain,Less_gain_on_asset_disposal,Less_government_grant,Less_interest_income,Less_investment_income,Less_revaluation_surplus,Less_share_profit_subsidiary,Net_cash_before_financing,Net_cash_from_financing,Net_cash_from_investing,Net_cash_from_operating,Net_change_in_cash,New_borrowings_proceeds,Non_operating_items,Operating_profit_before_wc_movement,Other_items_financing_cf,Other_items_investing_cf,Other_items_operating_cf,Other_items_working_cap_change,Other_period_adjust_items,Proceeds_from_bond_issue,Proceeds_from_disposal_investment,Proceeds_from_new_investment,Proceeds_from_sale_fixed_asset,Proceeds_from_sale_intangible_other,Proceeds_from_sale_subsidiary,Proceeds_from_share_issue,Profit_before_tax_operating,Repayment_finance_lease,Repayment_of_borrowings,Share_repurchase_cash_out
00003.HK,20251231,香港中华煤气,52296438.0,3434855338.0,1781059518.0,97728404.0,-1938761730.0,57715758.0,,4603080086.0,31883666.0,5664544230.0,5914194238.0,9513616260.0,,45702932.0,,,,,-359842848.0,,,,,,,,,-57806080.0,627195968.0,,6485661532.0,1636995928.0,,,,,,1783949822.0,,,82554308.0,,,-192024572.0,,,83909138.0,111096060.0,9212844.0,1831730160.0,7176082900.0,-7136070254.0,-2337533360.0,9513616260.0,40012646.0,37471707496.0,11828388476.0,9361604334.0,43264238.0,-1009890282.0,,-57535114.0,209637362.0,,209366396.0,404913526.0,19961162.0,3070948.0,1407668370.0,30709480.0,7772930676.0,110373484.0,36624667780.0,36309444.0
00003.HK,20250630,香港中华煤气,-59459140.0,,,,,,,2289359280.0,7477990.0,5719294425.0,7611499480.0,,,,,,,11946545.0,,,,,,,,,,,,,3913907010.0,956726745.0,,,,,,1000591540.0,,,42040895.0,,,,,,,,,,4468190220.0,-2761840575.0,-573616550.0,5041806770.0,1706349645.0,2205186295.0,15222998960.0,,,653047395.0,,,185855410.0,,,,,,,,,52528320.0,,
00003.HK,20241231,香港中华煤气,267995976.0,3304018116.0,2090164884.0,80380272.0,-1884028380.0,,2170267344.0,5959530420.0,22780584.0,8308523484.0,5807659860.0,8334637812.0,,40097532.0,,,,40560552.0,-108161472.0,,,-17502156.0,,,148814628.0,,,1009754016.0,-1597789416.0,,6598405416.0,2116927440.0,,,,,,2142486144.0,,,194190588.0,,,26299536.0,107050224.0,,194190588.0,138628188.0,37967640.0,1926348408.0,6198078324.0,-8524846428.0,-2136559488.0,8334637812.0,-2326768104.0,34355528376.0,11615319720.0,9022500324.0,66397068.0,630725844.0,,25836516.0,-174095520.0,,325132644.0,27688596.0,99827112.0,8149152.0,847048788.0,,7862450016.0,184837584.0,31838366448.0,
00003.HK,20240630,香港中华煤气,108243848.0,,,,,,,2878227648.0,-15515560.0,8188656228.0,7782513628.0,,,,,,,,,,,,,,,,,,,,3917040024.0,1212495380.0,,,,,,1100418276.0,,,121477708.0,,,,,,,,,,2549571580.0,-2806491000.0,-1751980528.0,4301552108.0,-256919420.0,2322222992.0,15565027256.0,,,-122664192.0,,,-149223180.0,,,,,,7666512.0,,,111255692.0,,
00003.HK,20231231,香港中华煤气,540922718.0,3216356024.0,2006914812.0,68057122.0,3615999044.0,44314158.0,,7575727334.0,61532338.0,11999440264.0,8130696462.0,9906525174.0,,36430044.0,,,,-112008792.0,133939316.0,,,39420570.0,,,-300774418.0,,,285912410.0,247398060.0,,6518984192.0,1702243648.0,,,,,,1917652142.0,,,294702744.0,,,-14499520.0,4893044268.0,,292890304.0,157319792.0,89353292.0,2652324696.0,7645506274.0,-11280898426.0,-2261018900.0,9906525174.0,-3635392152.0,27609079764.0,16261392924.0,9195233096.0,-121433480.0,427826462.0,,4621722.0,-233351650.0,,163753954.0,58360568.0,66879036.0,59357410.0,3013634610.0,362488.0,8314024768.0,444954020.0,29909247368.0,
00003.HK,20230630,香港中华煤气,31439518.0,,,,,,,3314702496.0,226807080.0,12208121576.0,9916171494.0,,,3042534.0,,,,,,,,,,,,,,,,,3956953764.0,1116886572.0,,,,,,968079000.0,,,166140796.0,,,,,,,,,,1132283638.0,-3049356652.0,-3676671844.0,4808955482.0,-1917073014.0,2225014334.0,19832342988.0,,368792.0,-1546160460.0,,,-374877068.0,,,,,,159410342.0,,,346664480.0,,
00003.HK,20221231,香港中华煤气,89416327.0,3149134058.0,1586268866.0,66012653.0,-908455590.0,-12059145.0,,6900242769.0,544626719.0,9430251390.0,11827966724.0,8615321169.0,,-68960444.0,,,,18133381.0,-358469251.0,,,17597419.0,,,-93078734.0,,,1096399598.0,-1923388964.0,,6391793485.0,1444238936.0,,,,,,1572423181.0,,,189819875.0,,,-81644878.0,-219476439.0,,182673715.0,149801379.0,440828745.0,952851109.0,2576547988.0,316396234.0,-6038773181.0,8615321169.0,2892944222.0,27799544997.0,23655933448.0,9766031583.0,109068267.0,-478346085.0,,17150784.0,-495228888.0,,132471941.0,66995250.0,54578797.0,41537055.0,,3031669053.0,7310164372.0,118358275.0,22677266836.0,
00003.HK,20220630,香港中华煤气,61402642.0,,,,,,,2758329826.0,11459546.0,9028240830.0,8693947059.0,,,25570181.0,,,,1795899.0,,,,,,,,,,,,,3670304442.0,513798152.0,,,,,,808838702.0,,,82269278.0,,,,,,,,,,1436291605.0,-1605533706.0,-2363232046.0,3799523651.0,-169242101.0,2892680175.0,17387894118.0,,68158643.0,-129903361.0,,,-165051670.0,,,,,,,,,61659199.0,,
00003.HK,20211231,香港中华煤气,5114578560.0,2688759360.0,1151344320.0,32458720.0,-549999520.0,29842400.0,,5946813600.0,1035817440.0,6095208000.0,8631403200.0,8559863200.0,,,,,,79716000.0,-315511840.0,,,75464480.0,,,,,,805744800.0,-132205920.0,,5673162880.0,1414366240.0,,,,,,1445516800.0,,,140381920.0,,,66797920.0,6213760.0,,139809600.0,125338080.0,-318291680.0,2070572000.0,-2005164000.0,4410952000.0,-10565027200.0,8559863200.0,2405788000.0,22354246880.0,17262806400.0,8114025920.0,997472000.0,-523427520.0,,12345760.0,130407200.0,1921114720.0,305210080.0,156488640.0,76200320.0,39735360.0,,,6852060320.0,115772160.0,13783918400.0,
00003.HK,20210630,香港中华煤气,4561212936.0,,,,,,,2990495520.0,169078656.0,6203156400.0,6967921128.0,,,,,,,54917280.0,,,,,,,,,,,,,3401043792.0,641866512.0,,,,,,797049432.0,,,71309256.0,,,,,,,,,,,2906621856.0,-6567108192.0,4389638040.0,729151704.0,7199572200.0,13935842256.0,,-48094224.0,385585872.0,,,35613024.0,,,,,,,,,46762896.0,,
00003.HK,20201231,香港中华煤气,225980340.0,2474926584.0,1067704504.0,35769700.0,-1204807660.0,,,6074620864.0,49740924.0,6605948196.0,6274426200.0,8340820728.0,,53107484.0,,,,-7406432.0,-182215060.0,,,83069868.0,,,,,,927487280.0,-659424940.0,,5526124076.0,1660639884.0,,,,,,1260187572.0,,,154356776.0,,,106972444.0,-62281360.0,,157555008.0,121111996.0,-524762540.0,1915740968.0,3299733784.0,-3804633620.0,-5041086944.0,8340820728.0,-504899836.0,17019475752.0,12548852400.0,8171398596.0,39641244.0,-722716268.0,,504984.0,173377840.0,,192567232.0,32066484.0,27437464.0,4376528.0,,,7512141984.0,113453072.0,13942944896.0,
00003.HK,20200630,香港中华煤气,186250416.0,,,,,,,2445735600.0,37907760.0,7169499216.0,7624483680.0,,137290032.0,34619376.0,,,,79012560.0,,,,,,,,,,,,,3555839232.0,412418160.0,,,,,,694305744.0,,,90430560.0,,,,,,,,,,,-1498863696.0,-1951290528.0,3964512288.0,514358064.0,2848653984.0,,,,274032000.0,,,-59373600.0,,,,,,,,,62753328.0,,
00003.HK,20191231,香港中华煤气,369330094.0,2466530230.0,1102167712.0,346398126.0,-70139574.0,,2154709212.0,6047679514.0,308237898.0,7614846624.0,7030887642.0,8879329672.0,,33591750.0,,,,156851078.0,83128384.0,,,16034462.0,,,,,,714742862.0,-854305386.0,,5414721366.0,1842798616.0,,,,,,1323156638.0,,,209343786.0,,,40310100.0,-23021546.0,,196713288.0,94415212.0,1678691720.0,2294898782.0,4130979048.0,-4670507342.0,-4748350624.0,8879329672.0,-539528294.0,19717909360.0,14061775284.0,8882554480.0,-118959584.0,-371121654.0,,37174870.0,-44430688.0,2097289714.0,64317004.0,89667578.0,68348014.0,6360038.0,,,9319605542.0,115197308.0,17415038136.0,
00003.HK,20190630,香港中华煤气,45918252.0,,,,,,2115934164.0,2758349862.0,177163524.0,7477813728.0,6344107920.0,,59728914.0,,,,,84623292.0,,,,,,,,,,,,,3113028774.0,559639692.0,,,,,,663351606.0,,,98609886.0,,,,,,,,,,,-3020664474.0,-2399096718.0,4289398092.0,-1130363100.0,873326448.0,,,,-100809036.0,,,-3342708.0,2059547958.0,,,,,,,,61224336.0,,
