hsi_return,trade_date
,
,2019-01-02
-0.0026259178802026106,2019-01-03
0.022409107429062214,2019-01-04
0.008181912205203368,2019-01-07
0.0015385687711966245,2019-01-08
0.02268061469343441,2019-01-09
0.00223371852135279,2019-01-10
0.005498943513544408,2019-01-11
-0.013834916720388613,2019-01-14
0.02022786172333757,2019-01-15
0.002676473097539933,2019-01-16
-0.005444509987204027,2019-01-17
0.012527444755897177,2019-01-18
0.0039027446388899545,2019-01-21
-0.007026255925831504,2019-01-22
0.00010183129996188534,2019-01-23
0.004175815243605774,2019-01-24
0.01652628248051169,2019-01-25
0.0002818902016765712,2019-01-28
-0.0016419956536408709,2019-01-29
0.004037891009079031,2019-01-30
0.010839008929397265,2019-01-31
-0.00041980785717310454,2019-02-01
0.0021292204440686024,2019-02-04
-0.001568070533587762,2019-02-08
0.007067818912876778,2019-02-11
0.0009767762511305733,2019-02-12
0.011581269493496249,2019-02-13
-0.0022998107159006853,2019-02-14
-0.01868352520847061,2019-02-15
0.015991272104124432,2019-02-18
-0.00419370181309775,2019-02-19
0.010128900255542028,2019-02-20
0.004063580496293184,2019-02-21
0.006510002818156391,2019-02-22
0.004962469023541249,2019-02-25
-0.0064656338144818415,2019-02-26
-0.0005081698520055244,2019-02-27
-0.004320960697058784,2019-02-28
0.006251147666046286,2019-03-01
0.005116585188645439,2019-03-04
6.939896717605976e-05,2019-03-05
0.0026241644461999503,2019-03-06
-0.008890211108966928,2019-03-07
-0.019146624130527146,2019-03-08
0.009737734529093656,2019-03-11
0.014649824684504154,2019-03-12
-0.003921732826337454,2019-03-13
0.0015253487358888318,2019-03-14
0.005575784637763981,2019-03-15
0.013675253262073861,2019-03-18
0.0019473464664878648,2019-03-19
-0.004931351945931306,2019-03-20
-0.008506203930807033,2019-03-21
0.001437791000507227,2019-03-22
-0.02026594588502384,2019-03-25
0.0015271890388597331,2019-03-26
0.005647787697988127,2019-03-27
0.0016346605693002836,2019-03-28
0.009596747634615044,2019-03-29
0.01757784032266141,2019-04-01
0.002119286558172062,2019-04-02
0.01221011758372037,2019-04-03
-0.0016697678999171295,2019-04-04
0.004704321595135896,2019-04-08
0.0026711255124436395,2019-04-09
-0.0012577202945345256,2019-04-10
-0.009299980578702738,2019-04-11
0.002356295062940328,2019-04-12
-0.003311262386461067,2019-04-15
0.010705827634235776,2019-04-16
-0.00017223616540718023,2019-04-17
-0.005358394630233354,2019-04-18
-6.518399584543033e-07,2019-04-23
-0.005253442385360296,2019-04-24
-0.008589906612361142,2019-04-25
0.0018683369401946148,2019-04-26
0.009721354038672692,2019-04-29
-0.0064798581441934955,2019-04-30
0.008251773122405215,2019-05-02
0.004587572449257893,2019-05-03
-0.028978907207581672,2019-05-06
0.00524478470291867,2019-05-07
-0.012254199950963995,2019-05-08
-0.02386388139562734,2019-05-09
0.00844792935184091,2019-05-10
-0.014998847631741308,2019-05-14
0.005216247221754289,2019-05-15
0.00022496161972362927,2019-05-16
-0.011621876492902139,2019-05-17
-0.005684138784344039,2019-05-20
-0.004691628519230995,2019-05-21
0.0017608126601682539,2019-05-22
-0.01583806946854882,2019-05-23
0.003183276912141819,2019-05-24
-0.002406961065637536,2019-05-27
0.003764305369601706,2019-05-28
-0.005662468772494766,2019-05-29
-0.004436457649380943,2019-05-30
-0.007884637839044029,2019-05-31
-0.00026877977033634703,2019-06-03
-0.004920820098918921,2019-06-04
0.005004197228734242,2019-06-05
0.0025967169590859207,2019-06-06
0.022746336923574306,2019-06-10
0.007639942142724898,2019-06-11
-0.017304437923096327,2019-06-12
-0.0005035069545468174,2019-06-13
-0.006461373726537545,2019-06-14
0.0040124324836265934,2019-06-17
0.009975677721852039,2019-06-18
0.02557827516430078,2019-06-19
0.01234973852272958,2019-06-20
-0.0026871311864560266,2019-06-21
0.0013798363896522226,2019-06-24
-0.011469137980920974,2019-06-25
0.0012772307154584883,2019-06-26
0.014153487689047672,2019-06-27
-0.0027532100596369125,2019-06-28
0.011664711097802538,2019-07-02
-0.0007071697133584909,2019-07-03
-0.002057556901960189,2019-07-04
-0.0007271711597176544,2019-07-05
-0.015400286423824294,2019-07-08
-0.007603152526657442,2019-07-09
0.0031444472192245776,2019-07-10
0.00805225416512556,2019-07-11
0.0014004867184234104,2019-07-12
0.0029243759667745284,2019-07-15
0.0022671529105240396,2019-07-16
-0.000924163896802388,2019-07-17
-0.004599341940201951,2019-07-18
0.010671908550222042,2019-07-19
-0.013701899492018055,2019-07-22
0.003356238105449716,2019-07-23
0.002021977877215475,2019-07-24
0.0024632457765201288,2019-07-25
-0.006874116222624682,2019-07-26
-0.010258917636423392,2019-07-29
0.0014263594506425115,2019-07-30
-0.013101096051018724,2019-07-31
-0.007633835758835805,2019-08-01
-0.023475520627636914,2019-08-02
-0.028502980595492167,2019-08-05
-0.006694884848368998,2019-08-06
0.0008003106805460902,2019-08-07
0.004759783626118841,2019-08-08
-0.006947297237276939,2019-08-09
-0.004417238501965404,2019-08-12
-0.021042625324859454,2019-08-13
0.0008298036484166715,2019-08-14
0.00763495013071247,2019-08-15
0.009364795020192052,2019-08-16
0.021668390391836656,2019-08-19
-0.0022935169850555326,2019-08-20
0.0014676988608357533,2019-08-21
-0.008424744205688173,2019-08-22
0.005014041821421733,2019-08-23
-0.01906083916245649,2019-08-26
-0.0006331603050091505,2019-08-27
-0.0018933023155852657,2019-08-28
0.0034361850583821685,2019-08-29
0.0008259757912345567,2019-08-30
-0.0038165487338833737,2019-09-02
-0.0038515199613682327,2019-09-03
0.038991958766846135,2019-09-04
-0.0002903557273716828,2019-09-05
0.006608597806518235,2019-09-06
-0.00035065974450276816,2019-09-09
8.542643345665901e-05,2019-09-10
0.017815416199801426,2019-09-11
-0.0026300500113660696,2019-09-12
0.009785226147168258,2019-09-13
-0.008340630352491218,2019-09-16
-0.01232501690336174,2019-09-17
-0.0013482930139481208,2019-09-18
-0.010658916497160331,2019-09-19
-0.0012572957316879796,2019-09-20
-0.008067491078541655,2019-09-23
0.002234715682090993,2019-09-24
-0.012771598897492464,2019-09-25
0.0037224427336335353,2019-09-26
-0.003345341212053765,2019-09-27
0.005296088912949193,2019-09-30
-0.001900182660064087,2019-10-02
0.002596548020576517,2019-10-03
-0.011079196070098885,2019-10-04
0.0028027966243298064,2019-10-08
-0.0081329543657096,2019-10-09
0.000978052638715532,2019-10-10
0.023358931385166537,2019-10-11
0.008111851583984864,2019-10-14
-0.0006756663708954447,2019-10-15
0.006050031495919095,2019-10-16
0.006908528651722756,2019-10-17
-0.0048013931183717995,2019-10-18
0.0002282823815780155,2019-10-21
0.002264471173704319,2019-10-22
-0.008193351666195836,2019-10-23
0.008703319750692717,2019-10-24
-0.004871962129798013,2019-10-25
0.008394864865973295,2019-10-28
-0.0038860209938391677,2019-10-29
-0.004444316116119951,2019-10-30
0.008962515237440405,2019-10-31
0.007211546313685924,2019-11-01
0.01647706630687895,2019-11-04
0.0049405787687060165,2019-11-05
0.00018929157188263268,2019-11-06
0.0057276139301258855,2019-11-07
-0.007041628213981688,2019-11-08
-0.026204699964343714,2019-11-11
0.005152108665978927,2019-11-12
-0.018245455883103223,2019-11-13
-0.009324721924691914,2019-11-14
0.00011285284041551158,2019-11-15
0.013462766845336427,2019-11-18
0.01546829383345738,2019-11-19
-0.007536462229814189,2019-11-20
-0.015720887192136823,2019-11-21
0.004843759996924213,2019-11-22
0.014963631739628669,2019-11-25
-0.002931094214393859,2019-11-26
0.0014891951169262452,2019-11-27
-0.002236014367069772,2019-11-28
-0.020348245663088016,2019-11-29
0.003728408143785167,2019-12-02
-0.0020200599762313365,2019-12-03
-0.01245638618194056,2019-12-04
0.005927219443659926,2019-12-05
0.010730810502830757,2019-12-06
-0.0001373168233747002,2019-12-09
-0.002193316448096727,2019-12-10
0.007898534444373162,2019-12-11
0.013087082534968042,2019-12-12
0.025695174010563537,2019-12-13
-0.0064891462290880275,2019-12-16
0.012200814220703071,2019-12-17
0.0014545474951563886,2019-12-18
-0.003002441177649029,2019-12-19
0.0025488534339723756,2019-12-20
0.0012579422010912111,2019-12-23
-0.0015121693730481,2019-12-24
0.012963187265025988,2019-12-27
0.003329293359854324,2019-12-30
-0.0045778041878328235,2019-12-31
0.012549580299576979,2020-01-02
-0.003223832686409134,2020-01-03
-0.007919109603184316,2020-01-06
0.003396529804676973,2020-01-07
-0.008267075928761636,2020-01-08
0.016842830634694383,2020-01-09
0.002702959236371205,2020-01-10
0.011060061142658117,2020-01-13
-0.002410601764096132,2020-01-14
-0.0038618742660180283,2020-01-15
0.003803808261129138,2020-01-16
